,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
266,FinancialTimesv3_0906.csv,,01/09/2020 21:52,,48,,7,4,4,1,,"Just published: front page of the Financial Times, international edition, Wednesday 2 September             https://t.co/aqbSKY3g6z https://t.co/YJAwhtVRHy",,Just published front page of the Financial Times international edition Wednesday 2 September             httpstcoaqbSKY3g6z httpstcoYJAwhtVRHy
264,FinancialTimesv3_0906.csv,,01/09/2020 22:30,,49,,8,1,2,1,,Investors are just starting to digest Warren Buffett's $6bn bet on Japan's biggest trading houses. Some wonder whether the world famous investor has suddenly found kindred spirits in a market he has barely touched https://t.co/0Gc8YpgNQP,,Investors are just starting to digest Warren Buffetts 6bn bet on Japans biggest trading houses Some wonder whether the world famous investor has suddenly found kindred spirits in a market he has barely touched httpstco0Gc8YpgNQP
261,FinancialTimesv3_0906.csv,,01/09/2020 23:30,,50,,6,0,1,1,,"Facebook said it has taken down new disinformation campaigns, including one carried out by the Russian group accused of meddling in the 2016 election https://t.co/46HkBT2Eud",,Facebook said it has taken down new disinformation campaigns including one carried out by the Russian group accused of meddling in the 2016 election httpstco46HkBT2Eud
257,FinancialTimesv3_0906.csv,,02/09/2020 01:00,,51,,11,3,2,1,,"Opinion: Alphabet's move into the healthcare business is a dangerous one. The company, which aims to protect employers from staff health cost volatility, might soon start monitoring at-risk employees via their smartphones https://t.co/yy5gVRfn6J",,Opinion Alphabets move into the healthcare business is a dangerous one The company which aims to protect employers from staff health cost volatility might soon start monitoring atrisk employees via their smartphones httpstcoyy5gVRfn6J
254,FinancialTimesv3_0906.csv,,02/09/2020 01:25,,52,,9,0,4,1,,Emmanuel Macron says Lebanon has promised new cabinet in two weeks https://t.co/WO9h6q4XMM,,Emmanuel Macron says Lebanon has promised new cabinet in two weeks httpstcoWO9h6q4XMM
250,FinancialTimesv3_0906.csv,,02/09/2020 02:30,,53,,15,0,4,1,,"Opinion: Within more formal business or diplomatic meetings, centuries-old  norms of behaviour are changing, shoved aside by blunter health and safety protocols https://t.co/biB69uB2nT",,Opinion Within more formal business or diplomatic meetings centuriesold  norms of behaviour are changing shoved aside by blunter health and safety protocols httpstcobiB69uB2nT
246,FinancialTimesv3_0906.csv,,02/09/2020 04:00,,54,,3,0,0,1,,"While the forced global nature of lockdown has eased, there are doubts about how many management innovations will persist. Here's what some companies are doing to adapt management styles to the pandemic reality: https://t.co/jYjGp44XJ3",,While the forced global nature of lockdown has eased there are doubts about how many management innovations will persist Heres what some companies are doing to adapt management styles to the pandemic reality httpstcojYjGp44XJ3
243,FinancialTimesv3_0906.csv,,02/09/2020 05:24,,55,,6,0,2,1,,Equity bulls spur IPO markets into action https://t.co/eIfd8diMnD,,Equity bulls spur IPO markets into action httpstcoeIfd8diMnD
235,FinancialTimesv3_0906.csv,,02/09/2020 06:09,,56,,2,0,0,1,,Charlie Hebdo accused go on trial in Paris https://t.co/bjPhJIFL4D,,Charlie Hebdo accused go on trial in Paris httpstcobjPhJIFL4D
234,FinancialTimesv3_0906.csv,,02/09/2020 08:04,,57,,7,0,3,1,,Swiss regulator escalates probe into Credit Suisse spying scandal https://t.co/dYFFbKyL1s,,Swiss regulator escalates probe into Credit Suisse spying scandal httpstcodYFFbKyL1s
