Date,Open,High,Low,Close,,,,,,,,,,,,,,,,,
9/15/2020,"3,407.73","3,419.48","3,389.25","3,401.20",,,,,,,,,,,,,,,,,
9/16/2020,"3,411.23","3,428.92","3,384.45","3,385.49",,,,,,,,,,,,,,,,,
9/17/2020,"3,346.86","3,375.17","3,328.82","3,357.01",,,,,,,,,,,,,,,,,
9/18/2020,"3,357.38","3,362.27","3,292.40","3,319.47",,,,,,,,,,,,,,,,,
9/21/2020,"3,285.57","3,285.57","3,229.10","3,281.06",,,,,,,,,,,,,,,,,
9/22/2020,"3,295.75","3,320.31","3,270.95","3,315.57",,,,,,,,,,,,,,,,,
9/23/2020,"3,320.11","3,323.35","3,232.57","3,236.92",,,,,,,,,,,,,,,,,
9/24/2020,"3,226.14","3,278.70","3,209.45","3,246.59",,,,,,,,,,,,,,,,,
9/25/2020,"3,236.66","3,306.88","3,228.44","3,298.46",,,,,,,,,,,,,,,,,
9/28/2020,"3,333.90","3,360.74","3,332.91","3,351.60",,,,,,,,,,,,,,,,,
9/29/2020,"3,350.92","3,357.92","3,327.54","3,335.47",,,,,,,,,,,,,,,,,
9/30/2020,"3,341.21","3,393.56","3,340.47","3,363.00",,,,,,,,,,,,,,,,,
